InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
FMNH,Fishes,51356,1,Ptychocheilus lucius,Cyprinidae,,,,,,,,,,,,No data,,,,,,,,,PreservedSpecimen,,2015-3-6T20:19:50.000CMT
FMNH,Fishes,51355,1,Ptychocheilus lucius,Cyprinidae,,,,,,,,,,,,No data,,,,,,,,,PreservedSpecimen,,2015-3-6T20:19:50.000CMT
FMNH,Fishes,51317,1,Ptychocheilus lucius,Cyprinidae,,,,,,,,,,,,No data,,,,,,,,,PreservedSpecimen,,2015-3-6T20:19:49.000CMT
FMNH,Fishes,60313,4,Ptychocheilus lucius,Cyprinidae,,,,,,,U.S.A.,Utah,,,,"Leota Flat, Green River, Unitah Basin",,,1941,7,13,R. Zangerl,,,PreservedSpecimen,,2015-3-7T01:54:30.000CMT
OS,Fishes,18115,,Ptychocheilus lucius,Cyprinidae,isopropanol - 1,,,,,,United States,Utah,Grand County,,,"Desolation, Grey Canyon, Green River, Grand County, Utah",,,1977,6,,"Armantrout, Neil",,,PreservedSpecimen,,2010-12-13 01:53:23.0
OS,Fishes,1001,,Ptychocheilus lucius,Cyprinidae,isopropanol - 5,,,,,,United States,Colorado,,,,Colorado River,,,,,,"Wagner, Emery",,,PreservedSpecimen,,2012-08-08 11:21:05.0
OS,Fishes,6574,,Ptychocheilus lucius,Cyprinidae,isopropanol - 3,,,,,,United States,Utah,,,,Colorado River,,,1959,3,20,"Workman, Gar",,,PreservedSpecimen,,2012-08-08 11:23:31.0
UAFMC,Fish,2000-0017-1072,5,Ptychocheilus lucius,Cyprinidae,alcoholic,,,,,,United States,New Mexico,Chaves,,,USA | NEW MEXICO | ROSWELL | Drainage: UNKNOWN | DEXTER NATIONAL FISH HATCHERY,,,1993,4,24,,,,PreservedSpecimen,FOUND DEAD IN LABORATORY; ENDANGERED SPECIES,2015-04-08
UAFMC,Fish,2000-0017-1088,10,Ptychocheilus lucius,Cyprinidae,alcoholic,,,,,,United States,New Mexico,Chaves,,,USA | NEW MEXICO | ROSWELL | Drainage: UNKNOWN | DEXTER NATIONAL FISH HATCHERY,,,1995,11,9,JENSEN B,,,PreservedSpecimen,,2015-04-08
UAFMC,Fish,2000-0017-1645,1,Ptychocheilus lucius,Cyprinidae,alcoholic,,,,,,United States,New Mexico,Chaves,,,NORTH AMERICA | USA | NEW MEXICO | ROSWELL | DEXTER NATIONAL FISH HATCHERY,,,1995,,,JOHNSON J E,,,PreservedSpecimen,,2015-04-08
MSB,Fish specimens,MSB:Fish:98139,3,Ptychocheilus lucius,Cyprinidae,whole organism (95% ethanol),,37.282619,-110.284245,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 7.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river.",,.55 meters,2014,07,17,"Collector(s): W. H. Brandenburg, Scott L. Durst, Chris A. Cheek",not recorded,,PreservedSpecimen,"San Juan River 2014 Larval Colorado Pikeminnow and Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Scott L. Durst, Chris A. Cheek",2019-05-27 05:56:31.0
MSB,Fish specimens,MSB:Fish:767,4,Ptychocheilus lucius,Cyprinidae,"tissue; whole organism (formalin-fixed, 70% ethanol)",,36.729585,-108.368765,69849,World Geodetic System 1984,United States,New Mexico,San Juan County,,,"San Juan River, from Navajo Dam to the New Mexico and Colorado State line.",,,1961,09,25,Collector(s): Harold Olson,GeoLocate,,PreservedSpecimen,"Storage: 70% EtOH; Lower lobe caudal fin clipped for tissue, May 2002",2019-05-26 21:13:08.0
MSB,Fish specimens,MSB:Fish:67058,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 55% isopropanol)",,41.736534,-111.870311,120,World Geodetic System 1984,United States,Utah,Cache County,,,Utah. Logan Experimental Hatchery. Collector(s): sent by Arcadio Valdez,,,1979,11,15,"Collector(s): A. Valdez, USGS Biological Survey Fort Collins",GeoLocate,,PreservedSpecimen,"USGS Fort Collins CO Biological Survey Collections; verbatim collectors: A. Valdez, USGS Biological Survey Fort Collins",2019-05-27 02:27:13.0
MSB,Fish specimens,MSB:Fish:81293,1,Ptychocheilus lucius,Cyprinidae,whole organism (95% ethanol),,37.18175297,-109.83751,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 4.9 miles upstream of Mexican Hat raft pull out area.",,.02 meters-.21 meters,2010,03,25,"Collector(s): W. H. Brandenburg, Michael A. Farrington, Adam Barkalow",not recorded,,PreservedSpecimen,"San Juan River 2010 Razorback Sucker Larval Survey; verbatim collectors: W. Howard Brandenburg, Michael A. Farrington, Adam L. Barkalow",2019-05-27 08:23:27.0
MSB,Fish specimens,MSB:Fish:66783,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 55% isopropanol)",,40.520519,-108.986785,,World Geodetic System 1984,United States,Colorado,Moffat County,,,"Colorado: Moffat Co., Colorado Drainage. Green R. at Echo Park. Collector(s): P.B. Holden",,,1969,07,26,"Collector(s): Paul B. Holden, USGS Biological Survey Fort Collins",not recorded,,PreservedSpecimen,"USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Paul B. Holden, USGS Biological Survey Fort Collins",2019-05-27 05:08:13.0
MSB,Fish specimens,MSB:Fish:79879,1,Ptychocheilus lucius,Cyprinidae,"whole organism (formalin-fixed, 70% ethanol)",,36.790937,-108.66779,,North American Datum 1927,United States,New Mexico,San Juan County,,,San Juan River Hogback Irrigation Canal section 4,,.35 meters,2005,11,22,"Collector(s): Steven P. Platania, Michael A. Farrington, Lee E. Renfro",not recorded,,PreservedSpecimen,"ASIR Hogback Diversion Canal 2005 and 2015 Fish Entrainment Study; verbatim collectors: Steven P. Platania, Michael A. Farrington, Lee E. Renfro; UTMs and locality descriptors verified- S.P. Platania 14 JUN 2012",2019-05-27 08:02:00.0
