InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
FMNH,Fishes,5825,1,Xyrauchen texanus,Catostomidae,,,,,,,U.S.A.,Colorado,Mesa*,,,Grand Junction,,,1901,,,"Riggs, Menke",,,PreservedSpecimen,,2015-3-7T01:42:26.000CMT
OS,Fishes,15278,,Xyrauchen texanus,Catostomidae,isopropanol - 3; tissue - 8; photograph - 1; Tissue,,33.19065,-104.3444,,,United States,New Mexico,,,,DEXTER NATIONAL FISH HATCHERY.,,,1994,,,"Jensen, B.",,,PreservedSpecimen,,2015-07-27 11:07:31.0
OS,Fishes,15279,,Xyrauchen texanus,Catostomidae,EtOH - 3; Tissue,,33.19065,-104.3444,,,United States,New Mexico,,,,DEXTER NATIONAL FISH HATCHERY.,,,1994,,,"Jensen, B.",,,PreservedSpecimen,,2011-07-14 14:28:50.0
OS,Fishes,4591,,Xyrauchen texanus,Catostomidae,isopropanol - 2,,,,,,,,,,,,,,,,,,,,PreservedSpecimen,,2012-08-30 14:45:06.0
UAFMC,Fish,2000-0017-0310,1,Xyrauchen texanus,Catostomidae,alcoholic,,,,,,United States,New Mexico,Chaves,,,USA | NEW MEXICO | ROSWELL | Drainage: UNKNOWN | DEXTER NATIONAL FISH HATCHERY ORIGINAL STOCK FROM YAQUI RIVER MEXICO,,,1994,3,,JOHNSON J E,,,PreservedSpecimen,,2015-04-08
UAFMC,Fish,2000-0017-0315,14,Xyrauchen texanus,Catostomidae,alcoholic,,,,,,United States,New Mexico,Chaves,,,"USA | NEW MEXICO | ROSWELL | Drainage: UNKNOWN | DEXTER NATIONAL FISH HATCHERY, REARED AT U OF ARKANSAS",,,1995,,,JOHNSON J E,,,PreservedSpecimen,,2015-04-08
UAFMC,Fish,2000-0017-1086,0,Xyrauchen texanus,Catostomidae,alcoholic,,,,,,United States,New Mexico,Chaves,,,USA | NEW MEXICO | ROSWELL | Drainage: UNKNOWN | DEXTER NATIONAL FISH HATCHERY SERIES DEVELOPMENT,,,1993,,,HINES R,,,PreservedSpecimen,MANY LARVAE IN VIALS,2015-04-08
UAFMC,Fish,2000-0017-1648,1,Xyrauchen texanus,Catostomidae,alcoholic,,,,,,United States,New Mexico,Chaves,,,NORTH AMERICA | USA | NEW MEXICO | ROSWELL | DEXTER NATIONAL FISH HATCHERY,,,1995,,,JENSEN B,,,PreservedSpecimen,,2015-04-08
MSB,Fish specimens,MSB:Fish:81803,11,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.14268385,-109.859366,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 0.1 miles downstream of Mexican Hat raft pull out area.",,.02 meters-.11 meters,2010,06,14,"Collector(s): W. H. Brandenburg, Michael A. Farrington, Mark C. McKinstry",not recorded,,PreservedSpecimen,"San Juan River 2010 Razorback Sucker Larval Survey; verbatim collectors: W. Howard Brandenburg, Michael A. Farrington, Mark C. McKinstry",2019-05-27 05:43:21.0
MSB,Fish specimens,MSB:Fish:53644,27,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.1744603,-109.9314561,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 10.0 miles downstream of Mexican Hat raft pull out area.",,.03 meters-.23 meters,2002,05,01,"Collector(s): W. H. Brandenburg, Michael A. Farrington",not recorded,,PreservedSpecimen,"MSB San Juan River 2002 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Michael A. Farrington",2019-05-27 03:20:52.0
MSB,Fish specimens,MSB:Fish:63551,2,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.2991714,-110.3311442,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 4.1 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263 at Whirlwind Draw.",,.22 meters,2007,06,14,"Collector(s): W. H. Brandenburg, Michael A. Farrington",not recorded,,PreservedSpecimen,"ASIR San Juan River 2007 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Michael A. Farrington",2019-05-27 07:36:26.0
MSB,Fish specimens,MSB:Fish:53636,6,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.14462,-109.859455,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 0.7 miles downstream of Mexican Hat raft pull out area.",,.02 meters-.31 meters,2002,04,30,"Collector(s): W. H. Brandenburg, Michael A. Farrington",not recorded,,PreservedSpecimen,"MSB San Juan River 2002 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Michael A. Farrington",2019-05-27 02:52:37.0
MSB,Fish specimens,MSB:Fish:88380,1,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.1894453,-109.7299566,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 8.7 miles downstream of the Sand Island Campground docking area, off UT State HWY 163.",,.01 meters-.58 meters,2012,06,12,"Collector(s): W. H. Brandenburg, Stephen A. Zipper",not recorded,,PreservedSpecimen,"San Juan River 2012 Larval Fish Surveys; verbatim collectors: W. Howard Brandenburg, Stephen A. Zipper",2019-05-27 07:40:41.0
MSB,Fish specimens,MSB:Fish:47882,2,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.256676,-110.088209,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 20.4 miles upstream of Clay Hills, where Recreation Road 430 or Whirlwind Crossing meets the river, 11.0 miles from UT State HWY 263.",,.08 meters-.27 meters,2000,05,25,"Collector(s): W. H. Brandenburg, Donald E. Gibson",not recorded,,PreservedSpecimen,"MSB San Juan River 2000 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Donald E. Gibson",2019-05-27 04:58:20.0
MSB,Fish specimens,MSB:Fish:47855,1,Xyrauchen texanus,Catostomidae,"whole organism (formalin-fixed, 70% ethanol)",,37.21005399,-109.7111296,,World Geodetic System 1984,United States,Utah,San Juan County,,,"San Juan River, 6.9 miles downstream of the Sand Island Campground docking area, off UT State HWY 163.",,.09 meters-.19 meters,2000,05,23,"Collector(s): W. H. Brandenburg, Donald E. Gibson",not recorded,,PreservedSpecimen,"MSB San Juan River 2000 Larval Razorback Sucker Survey; verbatim collectors: W. Howard Brandenburg, Donald E. Gibson",2019-05-27 03:26:50.0
MSB,Fish specimens,MSB:Fish:97451,26,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.235194,-109.657471,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 3.4 miles downstream of the Sand Island Campground docking area, off UT State HWY 163.",,.35 meters,2014,05,19,"Collector(s): Jennifer L. Kennedy, Austin L. Fitzgerald",not recorded,,PreservedSpecimen,"San Juan River 2014 Larval Colorado Pikeminnow and Razorback Sucker Survey; verbatim collectors: Jennifer L. Kennedy, Austin L. Fitzgerald",2019-05-27 06:04:19.0
MSB,Fish specimens,MSB:Fish:73983,3,Xyrauchen texanus,Catostomidae,whole organism (95% ethanol),,37.1821102,-109.7651895,,North American Datum 1927,United States,Utah,San Juan County,,,"San Juan River, 9.3 miles upstream of Mexican Hat raft pull out area.",,.03 meters-.58 meters,2009,05,22,"Collector(s): W. H. Brandenburg, Adam Barkalow",not recorded,,PreservedSpecimen,"Kind_Type: VIAL JAR; Calcfld: 81-F8; Storage: 95% EtOH, 81-F8; 0161, 0162; Photograph number: 0161, 0162; Protolarvae",2019-05-27 07:20:27.0
